id;id_producto;nombre;descripcion;cantidad;precio
1;4879;Plástico;bypass SMS Guapo;66556;24254
2;52790;núcleo generating;SQL Seguro;40698;80424
3;90346;XML;quantifying;76572;56158
4;20942;enable port array;sexy Parafarmacia infomediaries;64786;68852
5;969;Morado redundant parsing;payment;96548;43939
6;57519;Lira Fantástico hacking;Automatizado Navarra;1505;6535
7;55164;distributed quantify website;niches Cine;99727;81273
8;47250;Asistente conjunto;Canadian;63275;7850
9;93082;Cambridgeshire;Especialista terciaria;92918;4241
10;72512;paradigms Ladrillo;Pizza Futuro;26939;83983
