id;id_producto;nombre;descripcion;cantidad;precio_total
1;66992;PNG Baleares Cambridgeshire;de Rojo Senior;88335;52352
2;81245;Técnico;neural bypassing Algodón;29400;41491
3;34458;redundant Interno País;Cliente;16498;58674
4;87294;Bebes;acompasada;23625;48547
5;30014;Asimilado models Solar;Borders synthesize;31562;2674
6;56563;index;Investment Sabroso;56623;21782
7;20334;Verde Facilitador Marca;Quinta Gris;79004;31662
8;95448;Account Violeta;AI;29563;61425
9;24241;convergence Estonia Cine;Account bypassing;96984;35275
10;16081;Acero compress;bandwidth Algodón Conjunto;28252;17781
